trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
38,False,"{'a': 0.5, 'e': 0.682554595010387}",30,3,-26.607493190613553,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",30,3,-52.632957230126316,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",30,0,-57.244377027088156,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-80.95195986099803,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,0.8101688730098792,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,14,2.9382534164556997,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,9,15.178125636894755,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,0,-117.984717702517,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,0,-80.9293632969696,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",25,7,-120.7083114886742,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,6,-11.505469314848177,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.611117239532865}",30,22,11.452200489944607,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",20,0,-48.81718240379379,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",20,0,-29.252864292451836,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",30,0,-96.73664270328464,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,10,-66.50609021396168,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,10,-1.8106379105258563,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-36.718281822750875,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,13,-3.15996942865641,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",20,5,-68.99605661964178,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,-98.9096274748512,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,20.44046660067375,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-121.18468886849554,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,15,2.8155826634852112,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
